,ticker,list_date,market_cap,mkt_cap_low,mkt_cap_high,lower_offer_pr,upper_offer_pr,final_offer_price,over_sub_ratio,allot_odds,firstday_return
21,01597.HK,2020/10/20,5.00-6.50,5.0,5.0,2.0,2.6,2.0,76.2,0.15,0.035
22,02132.HK,2020/10/20,5.20-5.44,5.2,5.2,0.325,0.34,0.325,58.1,0.1,-0.15385
23,06989.HK,2020/10/19,111.60-128.16,111.6,111.6,9.3,10.68,10.68,651.1,0.1,0.029960000000000004
24,08657.HK,2020/10/16,6.20-7.80,6.2,6.2,1.55,1.95,1.4,12.2,0.15,-0.22857
25,02115.HK,2020/10/15,5.04-5.60,5.04,5.04,0.36,0.4,0.36,12.5,0.1,2.13889
26,02130.HK,2020/10/15,6.13-7.13,6.13,6.13,2.45,2.85,2.66,33.3,0.2,0.018799999999999997
28,01952.HK,2020/10/09,146.61-161.27,146.61,146.61,50.0,55.0,55.0,653.4,0.02,0.32273
29,06998.HK,2020/10/07,99.68-117.85,99.68,99.68,20.3,24.0,24.0,0.0,0.03,0.16457999999999998
31,01429.HK,2020/09/29,5.60-7.04,5.6,5.6,0.35,0.44,0.35,25.8,0.125,1.8571400000000002
32,02057.HK,2020/09/29,2292.21,2292.21,2292.21,268.0,268.0,218.0,5.7,0.7,0.09173999999999999
33,09616.HK,2020/09/29,34.53-41.47,34.53,34.53,5.18,6.22,6.22,299.1,0.1,0.0
34,09991.HK,2020/09/29,251.92,251.92,251.92,103.9,103.9,82.9,2.6,0.7,0.013269999999999999
35,09688.HK,2020/09/28,570.40,570.4,570.4,648.0,648.0,562.0,2.4,0.5,0.08541
36,00909.HK,2020/09/25,280.65-308.72,280.65,280.65,15.0,16.5,16.5,643.3,0.1,0.8606100000000001
37,06988.HK,2020/09/23,46.54-69.82,46.54,46.54,2.14,3.21,2.88,0.0,0.1,-0.0625
38,01179.HK,2020/09/22,1168.21,1168.21,1168.21,368.0,368.0,297.0,2.4,1.0,0.047139999999999994
39,02101.HK,2020/09/18,27.60-35.60,27.6,27.6,6.9,8.9,8.9,0.0,0.02,0.03146
40,01455.HK,2020/09/15,5.00-7.50,5.0,5.0,0.4,0.6,0.4,6.7,0.3,2.3
41,01408.HK,2020/09/11,5.00-6.00,5.0,5.0,1.0,1.2,1.0,8.0,0.301,1.86
42,09987.HK,2020/09/10,1961.42,1961.42,1961.42,468.0,468.0,412.0,51.3,0.25,-0.052910000000000006
43,09633.HK,2020/09/08,970.40-1069.93,970.4,970.4,19.5,21.5,21.5,0.0,0.12,0.5395300000000001
44,09913.HK,2020/08/14,5.20-6.40,5.2,5.2,0.52,0.64,0.52,18.2,0.8,-0.18269000000000002
45,03347.HK,2020/08/07,94.22-107.07,94.22,94.22,88.0,100.0,100.0,413.4,0.05,0.133
46,01449.HK,2020/08/06,14.00-17.33,14.0,14.0,2.1,2.6,2.1,26.9,0.2,-0.11904999999999999
47,00368.HK,2020/07/17,5.04-5.52,5.04,5.04,0.63,0.69,0.63,9.7,0.1,0.11110999999999999
49,09908.HK,2020/07/16,12.41-16.54,12.41,12.41,9.0,12.0,10.0,5.7,0.18,0.10400000000000001
50,09977.HK,2020/07/16,46.62-71.40,46.62,46.62,3.33,5.1,3.33,1.1,0.85,0.009009999999999999
51,01156.HK,2020/07/15,5.40-7.05,5.4,5.4,0.98,1.28,0.98,8.4,0.085,-0.28570999999999996
52,01981.HK,2020/07/15,47.48-51.46,47.48,47.48,2.86,3.1,3.1,33.6,0.5,0.5871
53,06933.HK,2020/07/15,6.52-7.48,6.52,6.52,1.63,1.87,1.63,4.6,0.25,0.04294
55,09986.HK,2020/07/15,10.00-14.00,10.0,10.0,1.25,1.75,1.25,3.1,0.5,-0.10400000000000001
56,09990.HK,2020/07/15,79.92-94.60,79.92,79.92,9.8,11.6,11.6,122.0,0.2,0.75
57,08659.HK,2020/07/13,2.40-3.60,2.4,2.4,0.4,0.6,0.4,10.3,0.13,0.9
58,09906.HK,2020/07/13,10.80-13.80,10.8,10.8,1.8,2.3,2.1,14.0,0.1,0.15238
59,01163.HK,2020/07/10,5.23-6.23,5.23,5.23,0.84,1.0,0.86,5.2,0.45,0.24419000000000002
60,01477.HK,2020/07/10,77.79-86.66,77.79,77.79,13.16,14.66,14.66,0.0,0.05,1.52387
61,06958.HK,2020/07/10,36.00-47.00,36.0,36.0,3.6,4.7,4.55,101.0,0.4,0.23076999999999998
