ticker,list_date,market_cap,lower_offer_pr,upper_offer_pr,final_offer_price,over_sub_ratio,allot_odds,firstday_return
01901.HK,2019/06/28,5.00-5.50,1.00,1.10,1.050,18.1,50.0%,-6.667%
01930.HK,2019/06/28,5.28-5.81,0.80,0.88,0.880,5.0,40.0%,+34.091%
01943.HK,2019/06/28,5.00-5.40,0.50,0.54,0.500,2.2,100.0%,-7.000%
01909.HK,2019/06/27,N/A,N/A,N/A,N/A,N/A,N/A,0.000%
01849.HK,2019/06/26,5.20-5.60,0.65,0.70,0.650,8.0,25.0%,-24.615%
01951.HK,2019/06/25,188.91-207.90,7.76,8.54,8.540,98.3,65.0%,+8.665%
01769.HK,2019/06/21,20.23-26.01,3.64,4.68,3.680,0.6,100.0%,+0.272%
01861.HK,2019/06/21,N/A,N/A,N/A,N/A,N/A,N/A,-33.640%
06117.HK,2019/06/19,10.41-11.48,1.37,1.51,1.500,認購不足,100.0%,+166.667%
01935.HK,2019/06/18,24.00-30.72,1.50,1.92,1.500,認購不足,100.0%,+10.000%
03877.HK,2019/06/17,82.22-87.13,1.34,1.42,1.340,認購不足,100.0%,-7.463%
03692.HK,2019/06/14,745.19-813.66,13.06,14.26,14.260,10.8,60.0%,+36.746%
02189.HK,2019/06/13,6.00-6.40,0.60,0.64,0.600,79.4,20.0%,-6.667%
06811.HK,2019/06/13,28.00-38.00,2.80,3.80,3.000,14.5,80.0%,-12.000%
00667.HK,2019/06/12,213.54-267.15,9.80,12.26,11.250,認購不足,100.0%,-11.822%
06055.HK,2019/06/12,26.84-33.75,3.88,4.88,4.880,101.0,60.0%,+9.631%
01905.HK,2019/06/03,108.94-120.52,1.88,2.08,1.880,認購不足,100.0%,0.000%
02181.HK,2019/05/31,61.86-80.42,1.50,1.95,1.500,0.5,100.0%,-19.333%
01521.HK,2019/05/30,51.19-64.24,2.55,3.20,3.200,90.7,50.0%,+4.688%
02060.HK,2019/05/28,20.48-28.40,2.56,3.55,2.680,認購不足,100.0%,+1.119%
03868.HK,2019/05/28,125.26-155.74,1.89,2.35,1.940,0.1,100.0%,0.000%
01817.HK,2019/05/27,44.46-55.86,4.68,5.88,4.390,認購不足,100.0%,+2.506%
02230.HK,2019/05/21,8.96-10.56,0.45,0.53,0.450,14.8,60.0%,-31.111%
01832.HK,2019/05/16,12.74-16.13,3.54,4.48,3.540,0.2,100.0%,-2.260%
02346.HK,2019/05/16,5.00-6.10,1.00,1.22,1.000,10.4,50.0%,+11.000%
01903.HK,2019/05/10,5.90-6.90,1.18,1.38,1.180,0.2,100.0%,+4.237%
01867.HK,2019/05/09,N/A,N/A,N/A,N/A,N/A,N/A,-0.255%
01873.HK,2019/05/09,51.30-66.15,3.42,4.41,4.410,105.9,100.0%,+0.227%
01857.HK,2019/05/08,83.12-120.93,2.99,4.35,2.990,1.4,100.0%,-11.371%
01753.HK,2019/05/07,66.67-90.00,6.00,8.10,6.000,6.7,100.0%,+0.167%
08635.HK,2019/05/02,2.12-2.68,0.53,0.67,0.530,100.3,15.0%,+37.736%
01780.HK,2019/04/30,5.21-6.57,0.84,1.06,0.840,10.3,30.0%,+5.952%
01906.HK,2019/04/26,5.52-7.20,0.46,0.60,0.580,94.9,50.0%,0.000%
06806.HK,2019/04/26,90.90-98.41,3.63,3.93,3.630,2.8,100.0%,-11.846%
01545.HK,2019/04/25,6.00-7.80,0.30,0.39,0.300,54.9,50.0%,-10.000%
03321.HK,2019/04/23,7.00-9.00,1.40,1.80,1.400,6.9,16.0%,-0.714%
02660.HK,2019/04/16,11.20-13.20,1.12,1.32,1.230,46.5,50.0%,+30.894%
02718.HK,2019/04/03,22.40-33.60,3.06,3.06,3.060,認購不足,100.0%,-9.477%
01797.HK,2019/03/28,85.00-101.45,9.30,11.10,10.200,8.2,100.0%,0.000%
06185.HK,2019/03/28,27.86-29.19,21.00,22.00,22.000,89.8,100.0%,+57.727%
01865.HK,2019/03/27,5.06-5.98,0.55,0.65,0.550,26.0,50.0%,+20.000%
06819.HK,2019/03/27,23.91-32.32,5.32,7.19,5.350,認購不足,100.0%,-2.617%
08537.HK,2019/03/27,2.25-2.55,0.30,0.34,0.300,102.7,14.0%,+35.000%
01854.HK,2019/03/21,N/A,N/A,N/A,N/A,N/A,N/A,-12.500%
01897.HK,2019/03/19,N/A,N/A,N/A,N/A,N/A,N/A,0.000%
02682.HK,2019/03/18,5.00-6.00,0.50,0.60,0.500,認購不足,100.0%,-44.000%
03662.HK,2019/03/18,24.36-30.10,3.48,4.30,3.660,5.2,100.0%,+21.585%
01563.HK,2019/03/15,12.60-25.05,0.84,1.67,0.850,0.1,100.0%,-2.353%
01891.HK,2019/03/15,5.00-6.20,0.50,0.62,0.500,205.6,50.0%,-26.000%
01907.HK,2019/03/15,110.40-127.20,2.76,3.18,2.800,0.2,100.0%,0.000%
