,ticker,list_date,market_cap,lower_offer_pr,upper_offer_pr,final_offer_price,over_sub_ratio,allot_odds,firstday_return
0,06618.HK,2020/12/08,"1,963.81-2,207.09",62.80,70.58,70.580,420.9,40.0%,0.000%
1,02110.HK,2020/12/07,5.00-6.00,0.225,0.270,0.225,35.8,20.0%,-14.667%
2,06666.HK,2020/12/02,"918.92-1,054.05",8.50,9.75,8.800,9.7,50.0%,-0.227%
3,06996.HK,2020/11/20,105.58-120.81,15.80,18.08,18.080,263.8,20.0%,+1.106%
4,01516.HK,2020/11/19,316.50-379.50,10.55,12.65,11.600,9.4,30.0%,+21.897%
5,01795.HK,2020/11/18,5.04-6.48,0.84,1.08,0.840,17.3,25.0%,-1.190%
8,09666.HK,2020/11/17,55.56-63.27,41.80,47.60,44.700,10.2,50.0%,0.000%
9,01351.HK,2020/11/11,5.00-5.50,1.00,1.10,1.100,30.3,45.0%,+31.818%
10,09901.HK,2020/11/09,"2,380.62","1,399.00","1,399.00","1,190.000",0.6,100.0%,+14.710%
11,09995.HK,2020/11/09,53.75-55.68,50.30,52.10,52.100,52.4,90.0%,+33.973%
13,02126.HK,2020/11/03,75.24-89.53,20.00,23.80,23.800,448.4,5.0%,-7.563%
14,09698.HK,2020/11/02,"1,265.21",86.00,86.00,80.880,5.4,80.0%,0.000%
15,00873.HK,2020/10/30,348.24-404.71,14.80,17.20,16.600,12.9,50.0%,0.000%
16,03913.HK,2020/10/30,141.25-164.05,7.00,8.13,7.890,43.5,60.0%,-22.940%
17,09993.HK,2020/10/29,140.00-180.00,3.50,4.50,4.300,0.7,100.0%,+1.395%
18,02096.HK,2020/10/27,315.29-356.98,12.10,13.70,13.700,588.5,5.0%,-19.854%
19,02169.HK,2020/10/23,8.50-11.00,0.85,1.10,0.950,11.0,6.5%,+5.263%
20,02107.HK,2020/10/22,18.60-24.60,1.86,2.46,2.400,65.7,10.0%,-26.667%
21,01597.HK,2020/10/20,5.00-6.50,2.00,2.60,2.000,76.2,15.0%,+3.500%
22,02132.HK,2020/10/20,5.20-5.44,0.325,0.34,0.325,58.1,10.0%,-15.385%
23,06989.HK,2020/10/19,111.60-128.16,9.30,10.68,10.680,651.1,10.0%,+2.996%
24,08657.HK,2020/10/16,6.20-7.80,1.55,1.95,1.400,12.2,15.0%,-22.857%
25,02115.HK,2020/10/15,5.04-5.60,0.36,0.40,0.360,12.5,10.0%,+213.889%
26,02130.HK,2020/10/15,6.13-7.13,2.45,2.85,2.660,33.3,20.0%,+1.880%
28,01952.HK,2020/10/09,146.61-161.27,50.00,55.00,55.000,653.4,2.0%,+32.273%
29,06998.HK,2020/10/07,99.68-117.85,20.30,24.00,24.000,"1,246.5",3.0%,+16.458%
31,01429.HK,2020/09/29,5.60-7.04,0.35,0.44,0.350,25.8,12.5%,+185.714%
32,02057.HK,2020/09/29,"2,292.21",268.00,268.00,218.000,5.7,70.0%,+9.174%
33,09616.HK,2020/09/29,34.53-41.47,5.18,6.22,6.220,299.1,10.0%,0.000%
34,09991.HK,2020/09/29,251.92,103.90,103.90,82.900,2.6,70.0%,+1.327%
35,09688.HK,2020/09/28,570.40,648.00,648.00,562.000,2.4,50.0%,+8.541%
36,00909.HK,2020/09/25,280.65-308.72,15.00,16.50,16.500,643.3,10.0%,+86.061%
